Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
12/19/2025,6772.25,6802.75,6768.00,6796.54,18.29,0.27%,22274,0
12/18/2025,6739.25,6818.50,6720.25,6778.25,51.75,0.77%,416394,488981
12/17/2025,6796.00,6826.75,6723.75,6726.50,-74.5,-1.10%,590558,577240
12/16/2025,6825.25,6833.75,6762.00,6801.00,-22,-0.32%,1070240,684324
12/15/2025,6831.00,6872.50,6806.25,6823.00,-7.75,-0.11%,1771047,1013285
12/12/2025,6914.00,6915.50,6805.00,6830.75,-76.5,-1.11%,2609362,1577220
12/11/2025,6887.00,6928.75,6817.50,6907.25,15.5,0.22%,1815978,1896785
12/10/2025,6847.25,6908.00,6830.75,6891.75,43.5,0.0064,1473707,1999202
12/09/2025,6865.00,6872.75,6844.00,6848.25,-7.5,-0.11%,1008518,1992471
12/08/2025,6883.00,6893.75,6835.25,6855.75,-22.5,-0.33%,1257776,1993957
12/05/2025,6865.50,6905.00,6856.75,6878.25,11.5,0.0017,1336540,2005341
12/04/2025,6866.00,6880.75,6836.25,6866.75,4.75,0.07%,1323676,2003337
12/03/2025,6843.00,6873.25,6817.50,6862.00,21.75,0.32%,1310103,2005901
12/02/2025,6829.00,6863.50,6812.25,6840.25,13.5,0.20%,1455018,2000093
12/01/2025,6854.75,6864.50,6802.00,6826.75,-32.75,-0.48%,1472111,2002884
11/28/2025,6830.75,6863.75,6824.25,6859.50,31.5,0.0046,460053,2001126
11/26/2025,6781.00,6846.75,6778.25,6828.00,46.5,0.0069,1459184,2007944
11/25/2025,6726.25,6792.50,6674.50,6781.50,60.25,0.90%,1656062,2005630
11/24/2025,6654.75,6731.75,6625.00,6721.25,101,1.53%,1611105,2003962
11/21/2025,6560.00,6677.50,6525.00,6620.25,62.75,0.96%,2592859,2006628
11/20/2025,6697.50,6791.25,6550.50,6557.50,-104,-1.56%,2987357,1997668
11/19/2025,6630.75,6709.00,6613.25,6661.50,21.75,0.33%,2041130,1989743
11/18/2025,6696.50,6708.75,6594.00,6639.75,-52.25,-0.78%,2514985,1982194
11/17/2025,6764.75,6801.50,6658.50,6692.00,-63.25,-0.94%,1883810,1961045
11/14/2025,6762.75,6795.50,6670.50,6755.25,-4.75,-0.07%,2105234,1941419
11/13/2025,6873.25,6892.50,6746.00,6760.00,-115.75,-1.68%,2087220,1932643
11/12/2025,6874.00,6900.50,6852.00,6875.75,4.25,0.0006,1402032,1937325
11/11/2025,6857.25,6880.00,6830.50,6871.50,14.75,0.0022,1348763,1946693
11/10/2025,6788.00,6865.75,6772.00,6856.75,103,0.0153,1597305,1935308
11/07/2025,6763.00,6772.00,6655.50,6753.75,6.25,0.09%,2127595,1933597
11/06/2025,6828.50,6843.50,6733.50,6747.50,-77.75,-1.14%,1860279,1934322
11/05/2025,6801.00,6857.75,6748.50,6825.25,23.5,0.0035,1467734,1920849
11/04/2025,6884.00,6884.00,6786.25,6801.75,-81,-1.18%,1702971,1916055
11/03/2025,6878.00,6909.50,6849.50,6882.75,8.75,0.13%,1359848,1902446
10/31/2025,6897.00,6918.50,6843.50,6874.00,18.5,0.0027,1764133,1885583
10/30/2025,6906.50,6953.75,6851.00,6855.50,-67.25,-0.97%,1817621,1888486
10/29/2025,6929.25,6952.00,6882.25,6922.75,-3,-0.04%,1536995,1892495
10/28/2025,6914.00,6944.75,6901.50,6925.75,17.5,0.25%,1221838,1897521
10/27/2025,6881.00,6916.25,6865.75,6908.25,81.25,0.0119,1191278,1894820
10/24/2025,6778.25,6841.25,6776.50,6827.00,52,0.0077,1279387,1871404
10/23/2025,6733.50,6785.75,6717.50,6775.00,38,0.0056,1375494,1866287
10/22/2025,6776.00,6788.75,6690.75,6737.00,-36.25,-0.54%,1905565,1867044
10/21/2025,6779.50,6789.75,6759.25,6773.25,-0.5,-0.01%,1285745,1855144
10/20/2025,6721.00,6783.00,6694.00,6773.75,71.25,1.06%,1207586,1862277
10/17/2025,6659.25,6718.00,6571.25,6702.50,33.75,0.51%,2081456,1866537
10/16/2025,6715.25,6750.50,6632.00,6668.75,-46.25,-0.69%,2221351,1874949
10/15/2025,6684.25,6766.75,6651.50,6715.00,28.5,0.0043,2009854,1879850
10/14/2025,6691.00,6722.50,6593.25,6686.50,-8.25,-0.12%,2147252,1906215
10/13/2025,6632.00,6711.50,6632.00,6694.75,99.5,0.0151,1772840,1914287
10/10/2025,6779.50,6806.50,6540.25,6595.25,-184,-2.71%,2570043,1946133
10/09/2025,6802.75,6812.25,6760.75,6779.25,-22,-0.32%,1370466,1914300
10/08/2025,6766.00,6807.75,6758.25,6801.25,39.75,0.59%,1047925,1936653
10/07/2025,6789.50,6802.75,6747.25,6761.50,-27.25,-0.40%,1433808,1933609
10/6/2025,6768.00,6797.75,6766.50,6788.75,24.75,0.37%,1087339,1942449
10/3/2025,6764.75,6800.00,6754.00,6764.00,-2.75,-0.04%,1366239,1938615
10/2/2025,6757.00,6782.25,6741.50,6766.75,5.25,0.0008,1182875,1931282
10/01/2025,6725.50,6769.50,6680.00,6761.50,22.75,0.34%,1312743,1933976
09/30/2025,6708.00,6743.50,6693.00,6738.75,25.25,0.38%,1521737,1926751
09/29/2025,6697.00,6736.00,6696.25,6713.50,17,0.0025,1209953,1935786
09/26/2025,6662.75,6703.75,6653.25,6696.50,36.75,0.0055,1338413,1925386
09/25/2025,6697.25,6705.25,6624.25,6659.75,-32.5,-0.49%,1710507,1934591
09/24/2025,6717.75,6728.75,6678.00,6692.25,-22.75,-0.34%,1250173,1925772
09/23/2025,6749.50,6756.50,6701.75,6715.00,-37.5,-0.56%,1264195,1937633
09/22/2025,6716.00,6756.75,6695.25,6752.50,30,0.0045,1081569,1924707