Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
06/20/2025,5984.00,6019.25,5918.25,6010.21,28.71,0.48%,71380,0
06/18/2025,5977.25,6020.75,5964.75,5981.50,-3.5,-0.06%,453191,562716
06/17/2025,6038.50,6040.50,5976.75,5985.00,-50.75,-0.84%,870571,667682
06/16/2025,5949.00,6055.25,5944.00,6035.75,56.5,0.94%,1744867,1017789
06/13/2025,6045.00,6045.00,5927.50,5979.25,-70.25,-1.16%,2162167,1664937
6/12/2025,6022.25,6051.25,5987.75,6049.50,20.5,0.34%,1330953,2012798
6/11/2025,6038.75,6074.75,6006.25,6029.00,-16,-0.26%,1610313,2041428
6/10/2025,6012.25,6049.50,5991.25,6045.00,34.75,0.0058,1104373,2053843
06/09/2025,6010.00,6027.75,5992.25,6010.25,3.5,0.06%,912371,2033478
06/06/2025,5931.75,6025.00,5930.00,6006.75,60.75,1.02%,1278102,2017117
06/05/2025,5974.25,6016.50,5928.75,5946.00,-35,-0.59%,1582746,2014196
06/04/2025,5980.00,5999.00,5974.00,5981.00,-0.5,-0.01%,1097088,2021426
06/03/2025,5949.00,5991.25,5909.25,5981.50,34.25,0.58%,1154297,2025954
06/02/2025,5898.75,5955.50,5867.50,5947.25,31.25,0.53%,1194125,2010950
05/30/2025,5912.25,5932.75,5853.25,5916.00,-6.75,-0.11%,1633334,2002103
05/29/2025,5923.50,6008.00,5884.00,5922.75,20,0.0034,1414864,2010255
05/28/2025,5940.75,5952.50,5890.00,5902.75,-31.5,-0.53%,1181330,2017502
05/27/2025,5820.00,5941.75,5813.00,5934.25,117.25,2.02%,1288369,2032925
05/23/2025,5869.25,5872.00,5756.50,5817.00,-39.75,-0.68%,1537693,2027402
05/22/2025,5858.00,5895.00,5828.75,5856.75,-4.5,-0.08%,1419522,2038065
05/21/2025,5953.50,5958.25,5847.75,5861.25,-98.5,-1.65%,1548946,2048223
05/20/2025,5980.00,5993.50,5926.75,5959.75,-22.75,-0.38%,1112908,2043675
05/19/2025,5930.25,5987.50,5892.75,5982.50,7,0.12%,1245859,2042546
05/16/2025,5935.00,5977.50,5923.00,5975.50,42.25,0.71%,1180875,2060751
05/15/2025,5904.00,5944.50,5867.00,5933.25,24.75,0.42%,1291986,2066155
05/14/2025,5902.00,5925.00,5890.00,5908.50,4,0.07%,1207202,2054637
05/13/2025,5868.00,5927.00,5835.75,5904.50,39.5,0.0067,1335457,2072277
5/12/2025,5761.00,5876.25,5734.25,5865.00,187,0.0329,1765593,2095350
5/9/2025,5688.50,5715.25,5662.50,5678.00,-6.5,-0.11%,1029418,2062579
05/08/2025,5643.25,5741.00,5636.50,5684.50,32.5,0.58%,1428613,2070285
05/07/2025,5608.50,5689.75,5596.00,5652.00,26.25,0.47%,1390561,2065507
05/06/2025,5666.25,5673.25,5605.00,5625.75,-46,-0.81%,1303877,2082611
05/05/2025,5705.00,5706.25,5655.25,5671.75,-37.25,-0.65%,989373,2092468
05/02/2025,5608.50,5724.75,5601.00,5709.00,85.75,1.52%,1383367,2103568
05/01/2025,5617.50,5682.50,5601.75,5623.25,36.25,0.65%,1388619,2099296
04/30/2025,5579.50,5626.25,5455.50,5587.00,3.25,0.06%,1833646,2105829
04/29/2025,5543.00,5597.25,5521.50,5583.75,30.75,0.55%,1227182,2089445
04/28/2025,5544.00,5578.75,5492.00,5553.00,3.25,0.06%,1198801,2116053
04/25/2025,5529.00,5562.25,5480.25,5549.75,38.5,0.70%,1339888,2136821
04/24/2025,5409.00,5541.50,5355.25,5511.25,109.5,0.0203,1411419,2151769
04/23/2025,5379.75,5499.75,5377.75,5401.75,87,0.0164,1846494,2157019
04/22/2025,5182.50,5339.25,5171.75,5314.75,130,2.51%,1572006,2170692
04/21/2025,5283.75,5306.75,5127.25,5184.75,-128,-2.41%,1191218,2186288
04/17/2025,5308.00,5371.25,5285.50,5312.75,7,0.13%,1381396,2158165
04/16/2025,5403.75,5425.00,5251.00,5305.75,-122.5,-2.26%,1559064,2161626
04/15/2025,5431.75,5485.00,5413.00,5428.25,-12.5,-0.23%,1158703,2142457
04/14/2025,5452.50,5497.75,5391.00,5440.75,49.5,0.0092,1303900,2157479
04/11/2025,5299.25,5418.25,5206.00,5391.25,89.25,1.68%,1759660,2159608
04/10/2025,5502.50,5528.75,5146.75,5302.00,-189,-3.44%,2524214,2182278
4/9/2025,5006.25,5520.00,4871.75,5491.00,470.75,9.38%,3096194,2248087
04/08/2025,5126.50,5305.25,4940.50,5020.25,-77,-1.51%,2438061,2306548
04/07/2025,5007.00,5286.50,4830.00,5097.25,-13,-0.25%,3673583,2296543
04/04/2025,5423.00,5435.00,5074.00,5110.25,-322.5,-5.94%,3678162,2233965
4/3/2025,5550.50,5564.75,5415.25,5432.75,-279.5,-4.89%,2470412,2168022
4/2/2025,5672.00,5773.25,5566.25,5712.25,37.75,0.67%,2060456,2102311
4/1/2025,5644.25,5694.75,5600.25,5674.50,21.25,0.0038,1871505,2100918
03/31/2025,5590.00,5672.75,5533.75,5653.25,30.25,0.54%,2229839,2091441
03/28/2025,5741.75,5747.75,5602.25,5623.00,-116.25,-2.03%,1910914,2082053
03/27/2025,5737.25,5779.75,5720.00,5739.25,-20.25,-0.35%,1575855,2064619
03/26/2025,5831.00,5836.50,5743.00,5759.50,-67,-1.15%,1483959,2070698
03/25/2025,5813.00,5837.25,5802.25,5826.50,11,0.19%,1078548,2064932
03/24/2025,5740.00,5825.50,5739.00,5815.50,97.25,1.70%,1404629,2086227
03/21/2025,5715.25,5723.75,5651.25,5718.25,5.5,0.10%,1629871,2072811
03/20/2025,5731.75,5765.25,5682.50,5712.75,-17,-0.30%,1726750,2071429
