Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
2026-03-03,6955.75,6955.75,6860,6875.5,-116.,-1.66%,28,0
2026-03-02,6952.25,7010.75,6872.5,6991.5,-2.5,-0.04%,49,632
2026-02-27,6993.25,7015.5,6957.25,6994,-29.75,-0.42%,40,616
2026-02-26,7073.25,7073.25,6975.75,7023.75,-38.75,-0.55%,47,621
2026-02-25,7012.75,7069.5,6997.5,7062.5,57,+0.81%,25,609
2026-02-24,6971.5,7013.5,6933.75,7005.5,51.5,+0.74%,14,601
2026-02-23,6977.5,7031.25,6937.25,6954,-72.25,-1.03%,34,597
2026-02-20,6975.5,7030.25,6950.75,7026.25,48.75,+0.70%,59,593
2026-02-19,6978.75,7012.25,6951.25,6977.5,-18.5,-0.26%,60,591
2026-02-18,6968.75,7026.25,6953.5,6996,34.5,+0.50%,5,549
2026-02-17,6960,6985.25,6895,6961.5,10,+0.14%,9,549
2026-02-13,6959.5,6999,6923.25,6951.5,-1.,-0.01%,54,549
2026-02-12,7062.5,7093,6948,6952.5,-112.5,-1.59%,39,554
2026-02-11,7100.5,7114.25,7037.75,7065,1.75,+0.02%,38,539
2026-02-10,7081.5,7107.25,7063.25,7063.25,-25.25,-0.36%,7,535
2026-02-09,7076.25,7103.25,7027.5,7088.5,30.5,+0.43%,239,535
2026-02-06,6890.5,7068.5,6857.25,7058,136,+1.96%,32,361
2026-02-05,7026.75,7038.5,6906.25,6922,-89.75,-1.28%,92,358
2026-02-04,7052.75,7069,6968,7011.75,-36.5,-0.52%,51,364
2026-02-03,7125,7132,6997.75,7048.25,-60.75,-0.85%,46,370
2026-02-02,7031,7120.75,6972,7109,38,+0.54%,19,370
2026-01-30,7085,7089.25,7026.25,7071,-27.,-0.38%,25,368
2026-01-29,7100.5,7136.5,7006.25,7098,-18.,-0.25%,33,372
2026-01-28,7130,7146.75,7098.75,7116,1.75,+0.02%,16,373
2026-01-27,7091.25,7123,7080.75,7114.25,26.25,+0.37%,33,377
2026-01-26,7006.25,7098.75,7000.25,7088,36.25,+0.51%,26,372
2026-01-23,7046.75,7067,7032.75,7051.75,1.75,+0.02%,11,388
2026-01-22,7037.5,7070.5,7018.25,7050,36.25,+0.52%,16,384
2026-01-21,6925,7048.25,6920,7013.75,81,+1.17%,6,384
2026-01-20,7025,7026,6932.75,6932.75,-150.,-2.12%,23,382
2026-01-16,7091.75,7110,7069.75,7082.75,-4.75,-0.07%,19,377
2026-01-15,7062.25,7120.25,7055,7087.5,19.25,+0.27%,44,377
2026-01-14,7071,7072.75,7029,7068.25,-38.75,-0.55%,23,379
2026-01-13,7111.75,7129.75,7083.5,7107,-14.,-0.20%,8,376
2026-01-12,7064.75,7126,7055,7121,13,+0.18%,14,379
2026-01-09,7058.5,7118,7058.5,7108,44.25,+0.63%,69,378
2026-01-08,7064,7072.75,7039,7063.75,-0.75,-0.01%,7,363
2026-01-07,7090.25,7103,7062,7064.5,-26.75,-0.38%,141,361
2026-01-06,7042.75,7091.25,7035,7091.25,46.5,+0.66%,4,306
2026-01-05,7012,7058.75,7012,7044.75,44.75,+0.64%,4,305
2026-01-02,7028,7036.25,6970.25,7000,7,+0.10%,12,308
2025-12-31,7028.5,7045.5,6993,6993,-52.,-0.74%,3,310
2025-12-30,7048,7057.25,7045,7045,-10.25,-0.15%,1,309
2025-12-29,7078.5,7078.5,7040.75,7055.25,-25.25,-0.36%,4,309
2025-12-26,7080.5,7089.25,7074,7080.5,-1.25,-0.02%,0,310
2025-12-24,7087,7087,7057.5,7081.75,19.5,+0.28%,2,310
2025-12-23,7040,7062.25,7018.5,7062.25,31.75,+0.45%,70,308
2025-12-22,6999.75,7030.5,6999.75,7030.5,47.5,+0.68%,30,339
2025-12-19,6971,6984.5,6971,6983,51.25,+0.74%,5,322
2025-12-18,6931.75,6949.75,6931.75,6931.75,54,+0.79%,0,317
2025-12-17,6935.25,6957,6877.75,6877.75,-76.75,-1.10%,82,317
2025-12-16,6954.5,6954.5,6941.5,6954.5,-27.25,-0.39%,0,249
2025-12-15,6981.75,7002.75,6981.75,6981.75,-9.75,-0.14%,0,249
2025-12-12,6991.5,6991.5,6987.25,6991.5,-79.5,-1.12%,0,249
2025-12-11,7071,7071,7071,7071,19.75,+0.28%,0,249
2025-12-10,7036.25,7051.25,7036.25,7051.25,40.25,+0.57%,1,249
2025-12-09,7011,7011,7011,7011,-5.,-0.07%,0,248
2025-12-08,7016,7016,7016,7016,-24.5,-0.35%,0,248
2025-12-05,7040.5,7040.5,7040.5,7040.5,12.75,+0.18%,0,248
2025-12-04,7027.75,7027.75,7027.75,7027.75,7,+0.10%,0,248
2025-12-03,7020.75,7020.75,7020.75,7020.75,17.25,+0.25%,0,248
2025-12-02,7003.5,7003.5,7003.5,7003.5,18,+0.26%,0,248
2025-12-01,6985.5,6985.5,6985.5,6985.5,-33.5,-0.48%,0,248
2025-11-28,7019,7019,7019,7019,31,+0.44%,0,248